Year,GDP_Millions,GDP_PerCapita,Unemployment_Rate,Poverty_Percent,Median_household_ Income,Governor_Name,Party,State_Name,state_initial
2015,218711,48094,0.055,0.154,58400,John A. Kitzhaber,Democrat,Oregon,OR
2015,450575,54161,0.054,0.122,69200,Jay Inslee,Democrat,Washington,WA
2015,147832,45470,0.042,0.13,58200,Sam Brownback,Republican,Kansas,KS
2015,176833,43288,0.043,0.161,52400,Mary Fallin,Republican,Oklahoma,OK
2015,2496710,53855,0.063,0.153,69600,Edmund G. Brown Jr.,Democrat,California,CA
2015,318097,50475,0.037,0.115,69000,John Hickenlooper,Democrat,Colorado,CO
2015,294170,38303,0.061,0.174,55600,Jan Brewer,Republican,Arizona,AZ
2015,2496710,53855,0.063,0.153,69600,Edmund G. Brown Jr.,Democrat,California,CA
2015,147832,45470,0.042,0.13,58200,Sam Brownback,Republican,Kansas,KS
2015,695889,48278,0.054,0.132,60100,Tom Corbett,Republican,Pennsylvania,PA
2015,174803,48002,0.037,0.122,59100,Terry E. Branstad,Republican,Iowa,IA
2015,1580641,52018,0.045,0.159,60100,Rick Perry,Republican,Texas,TX
2015,242211,43725,0.063,0.196,49300,Bobby Jindal,Republican,Louisiana,LA
2015,616406,45254,0.05,0.148,55100,John Kasich,Republican,Ohio,OH
2015,174803,48002,0.037,0.122,59100,Terry E. Branstad,Republican,Iowa,IA
2015,124792,35865,0.05,0.191,45300,Mike Beebe,Democrat,Arkansas,AR
2015,149643,42267,0.035,0.113,67900,Specer Cox,Republican,Utah,UT
2015,149643,42267,0.035,0.113,67900,Specer Cox,Republican,Utah,UT
2015,46108,38476,0.043,0.146,53400,Greg Gianforte,Republican,Montana,MT
2015,1580641,52018,0.045,0.159,60100,Rick Perry,Republican,Texas,TX
2015,124792,35865,0.05,0.191,45300,Mike Beebe,Democrat,Arkansas,AR
2015,2496710,53855,0.063,0.153,69600,Edmund G. Brown Jr.,Democrat,California,CA
2015,143609,43075,0.068,0.147,56600,Brian Sandoval,Republican,Nevada,NV
2015,784413,51963,0.06,0.136,64300,Bruce Rauner,Republican,Illinois,IL
2015,1580641,52018,0.045,0.159,60100,Rick Perry,Republican,Texas,TX
2015,91851,39659,0.066,0.204,49000,Susana Martinez,Republican,New Mexico,NM
2015,1580641,52018,0.045,0.159,60100,Rick Perry,Republican,Texas,TX
2015,149643,42267,0.035,0.113,67900,Specer Cox,Republican,Utah,UT
2015,488996,51106,0.044,0.112,71500,Terry McAuliffe,Democrat,Virginia,VA
2015,297263,42487,0.051,0.148,54200,Jeremiah W. (Jay) Nixon,Democrat,Missouri,MO
